"Product SKU","Product Name","Type","Price","Quantity","size","tip"
"3591","3591","Simple Product","200","","31*43*10.3","DC4"
"3590","3590","Simple Product","200","","32*44*10.5","DC4"
"3589","3589","Simple Product","80","","12*22*7","TC"
"3588","3588","Simple Product","200","","26*37*10.5","DC4"
"3587","3587","Simple Product","200","","30*40.5*10.5","DC4"
"3586","3586","Simple Product","80","","15*35*7","TC"
"3585","3585","Simple Product","100","0","10*15.5*5/8","SCY"
"3584","3584","Simple Product","100","","8*12.8*5/7.5","SCY"
"3583","3583","Simple Product","120","","30*42*5","TC"
"8028","RK8028","Simple Product","1420","53","FORD TRANSIT V","1994-2000"
"8027","RK8027","Simple Product","1420","60","FORD TRANSIT IV","1991-1994"
"8026","RK8026","Simple Product","1320","52","RENAULT TRAFIC II","2001-2014"
"8025","RK8025","Simple Product","1320","38","OPEL VIVARO","2001-2014"
"8024","RK8024","Simple Product","1360","56","MITSUBISHI MONTERO IV","2006-2015"
"8023","RK8023","Simple Product","1360","41","MITSUBISHI PAJERO IV","2006-2015"
"8022","RK8022","Simple Product","1340","37","OPEL FRONTERA B","1998-2004"
"8021","RK8021","Simple Product","1380","53","RENAULT SYMBOL","1998-2009"
"8020","RK8020","Simple Product","1380","61","RENAULT CLIO II","1998-2009"
"8019","RK8019","Simple Product","1360","47","FORD GALAXY","1995-2006"
"8018","RK8018","Simple Product","1360","44","VW SHARAN","1995-2010"
"8017","RK8017","Simple Product","1380","36","HAMMER H3","2005-2010"
"8016","RK8016","Simple Product","1340","66","SKODA OKTAVIA","1996-2010"
"8015","RK8015","Simple Product","1340","83","VW GOLF IV","1997-2006"
"8014","RK8014","Simple Product","1280","60","BMW 3 ( E36 )","1990-1999"
"8013","RK8013","Simple Product","1360","56","NISSAN PRIMERA ( WP12 )","2002-2015"
"8012","RK8012","Simple Product","1360","73","NISSAN PRIMERA ( P12 )","2001-2007"
"8011","RK8011","Simple Product","1380","43","KIA SPECTRA","2001-2004"
"3582","3582","Simple Product","80","","16*28*7","TC"
"3581","3581","Simple Product","80","","14*28*7","TC"
"3580","3580","Simple Product","80","","11.6*24*10","TC"
"3579","3579","Simple Product","80","","13.7*24*5","TC"
"3578","3578","Simple Product","100","","6.5*14.5*7","TC"
"8010","RK8010","Simple Product","1320","63","AUDI A4 (KOYO)","2000-2004"
"8009","RK8009","Simple Product","1380","72","AUDI A4 (ZF)","2000-2004"
"3577","3577","Simple Product","","29","25*34*7","TC"
"3576","3576","Simple Product","","9","20*40*7/7.5","TCN11"
"3575","3575","Simple Product","","20","18*30*7","TCR"
"3574","3574","Simple Product","","6","18.5*32*7","TCR"
"3573","3573","Simple Product","","26","19*28*8","DC"
"3572","3572","Simple Product","","4","35*62*8","CNB1W11"
"3571","3571","Simple Product","","5","32*44.5*5.3","CNB"
"3570","3570","Simple Product","","14","27*8*40*5.5/6.5","TCNY"
"3569","3569","Simple Product","","5","25.6*33.4*5.5/8.5","TCY"
"3568","3568","Simple Product","","28","30*40*7","SC4"
"3567","3567","Simple Product","","9","25*47*6/6.5","TCNY"
"3566","3566","Simple Product","","10","25*36*6/6.5","TCN11"
"3565","3565","Simple Product","","5","52*66*5.5","SCN"
"3564","3564","Simple Product","","1","50.5*65*8.3/8.8","CNB8"
"3563","3563","Simple Product","","2","40*55*9/10","CNB8"
"3562","3562","Simple Product","","9","56*70*5.5","TC"
"3561","3561","Simple Product","","3","36*62*8","CNB1W11"
"3560","3560","Simple Product","","15","16*48*7","TC"
"3559","3559","Simple Product","","18","20*47.5*7","TC"
"3558","3558","Simple Product","","30","17*28*6","TCR"
"3557","3557","Simple Product","","3","17*28*5.5","TCL9"
"","3556","Simple Product","","9","16*30*7","TC4"
"3555","3555","Simple Product","","17","20*36.5*8","TGR"
"3554","3554","Simple Product","","10","15*29*7","TC"
"3553","3553","Simple Product","","3","16*30*7.5/9","TCA3"
"3552","3552","Simple Product","","2","80*150*11.5/20","TARY"
"3551","3551","Simple Product","","1","66*85*8/10","TA"
"3550","3550","Simple Product","","1","80*101/107*10","TBY99"
"3549","3549","Simple Product","","2","88*108*11","TGL"
"3548","3548","Simple Product","","1","74*98*12","TCR"
"3547","3547","Simple Product","","-3","76*102*9.5/19.5","TXAY"
"3546","3546","Simple Product","","6","70*94*8/10","TA"
"3545","3545","Simple Product","","4","53*69.85*11","TCYR"
"3544","3544","Simple Product","","1","60*74*10/8","TBL"
"8008","RK8008","Simple Product","1320","57","CHEVROLET LACETTI","2003-2014"
"3543","3543","Simple Product","","1","60*74*7.5","TXMR9"
"3542","3542","Simple Product","","1","55*79*15.7","VBJ5"
"3541","3541","Simple Product","","1","60*114*12.5/29","TCY"
"3540","3540","Simple Product","","18","16*44*5.5/12","TC4S"
"3539","3539","Simple Product","","18","20*43*8","TGR"
"3538","3538","Simple Product","","17","17*27*6","SC"
"3537","3537","Simple Product","","18","20*45*8","TC"
"3536","3536","Simple Product","","3","19*40*10","TC"
"3535","3535","Simple Product","","3","49.5*62.5*8/13","KB9"
